Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Custom field (Customer Name),Custom field (Department/Faculty),Custom field (Customer User ID)
Task,ITRC-3432,304233,,Film Fest 2019,ddorobek,ddorobek,Low,Open,,04/Jun/19 11:54 AM,10/Jun/19 10:48 AM,,,
Service Request,ITRC-3347,296530,,J2B Lecture Recording,ddorobek,apypstra,Medium,Open,,22/Apr/19 3:17 PM,03/Jun/19 12:01 PM,,,
Sub-task,ITRC-3360,297968,294358,Search for Stock Footage,ddorobek,apypstra,Medium,Open,,01/May/19 11:06 AM,08/May/19 11:15 AM,,,
Problem,ITRC-3343,296273,,Drop In - Answer and answer key are identical but answer is incorrect,ddorobek,ddorobek,Medium,Escalated,,18/Apr/19 11:33 AM,18/Apr/19 12:03 PM,,,
Sub-task,ITRC-3294,279962,279757,Database Set-up,ddorobek,yalshara,Medium,Open,,15/Jan/19 4:12 PM,11/Feb/19 3:04 PM,,,
Service Request,ITRC-3076,229339,,UME Chart Simulation App,ddorobek,apypstra,Medium,Waiting For External,,09/Feb/18 1:07 PM,08/Nov/18 10:45 AM,,,
Task,ITRC-2959,219189,,Rise Project based on Ana Garcia's Powtoon development,ddorobek,ddorobek,Medium,Open,,28/Nov/17 4:30 PM,22/Feb/18 4:44 PM,,,
