Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Task,ITRC-3187,259609,,CHEM 1302 - LaTeX Question Pool,fliu253,rsanchez,Medium,Closed,Done,04/Sep/18 9:48 AM,17/May/19 3:13 PM,07/Dec/18 12:00 AM
Task,ITRC-3178,258617,,Carole Orchard - Footage Edit,jlau333,apypstra,Medium,Closed,Fixed,27/Aug/18 2:01 PM,21/Sep/18 10:20 AM,
Service Request,ITRC-3175,258599,,Disabilities Studies Design,astew5,apypstra,Medium,Waiting For External,,27/Aug/18 1:23 PM,07/May/19 11:59 AM,
Task,ITRC-3161,254916,,Update BOPPPS Info Graphic,astew5,apypstra,Medium,Closed,Fixed,26/Jul/18 1:14 PM,21/Sep/18 10:29 AM,
Task,ITRC-3153,251425,,PM Short Course Development,ifarrukh,jwinkler,Medium,Closed,Fixed,29/Jun/18 11:32 AM,07/May/19 10:07 AM,
Sub-task,ITRC-3143,246610,191999,Edit & Export Case Exemplar Videos,ifarrukh,rsanchez,Medium,Open,,25/May/18 10:44 AM,25/May/18 10:44 AM,
Task,ITRC-3116,240956,,Time Tracker Video ,cgordo57,cgordo57,Medium,Closed,Done,16/Apr/18 11:25 AM,16/Jan/19 4:41 PM,
Task,ITRC-3112,240139,,SCORE Learning Community Edit,zbaig4,apypstra,Medium,Closed,Fixed,10/Apr/18 3:44 PM,03/Apr/19 12:14 PM,
Task,ITRC-3105,238798,,ITRC Project Poster Design,,apypstra,Medium,Open,,02/Apr/18 1:10 PM,19/Apr/18 3:55 PM,
Task,ITRC-3101,236119,,Julie Whitehead - GRDIPAHS,ccretu,jsadle7,Medium,Closed,Fixed,16/Mar/18 4:35 PM,27/Mar/19 2:46 PM,04/May/18 12:00 AM
Service Request,ITRC-3098,236023,,Taylor Lib 360 Tour,jroach7,apypstra,Medium,Closed,Fixed,16/Mar/18 1:34 PM,07/May/19 11:29 AM,
Task,ITRC-3091,234253,,David Williams - Life Sciences,,apypstra,Medium,Closed,Obsolete,07/Mar/18 8:53 AM,20/Nov/18 11:04 AM,
Sub-task,ITRC-3088,232969,191999,Edit & Export Case Study Videos,ifarrukh,rsanchez,Medium,Closed,Done,28/Feb/18 11:02 AM,17/May/19 3:15 PM,09/Mar/18 12:00 AM
Problem,ITRC-3077,229480,,Lloy Wylie - MPH Video for community partners,astew5,jsadle7,Medium,Closed,Duplicate,12/Feb/18 9:37 AM,05/Apr/18 9:44 AM,
Service Request,ITRC-3076,229339,,UME Chart Simulation App,ddorobek,apypstra,Medium,Waiting For External,,09/Feb/18 1:07 PM,08/Nov/18 10:45 AM,
Task,ITRC-3075,229335,,Lightboard Filming: Rob Corless,aheintz,astew5,Medium,Closed,Done,09/Feb/18 12:44 PM,18/Apr/18 9:44 PM,
Problem,ITRC-3074,229332,,SCORM problelm in OWL site,olo3,jwinkler,Medium,Open,,09/Feb/18 12:30 PM,09/Feb/18 12:48 PM,
Task,ITRC-3073,229222,,MPH Sessions,aaladl,jroach7,Medium,Closed,Fixed,08/Feb/18 4:03 PM,07/May/19 10:07 AM,
Problem,ITRC-3064,227720,,Emily Knight Filming - All,,olo3,Medium,Open,,31/Jan/18 2:46 PM,26/Oct/18 1:13 PM,
Task,ITRC-3063,227444,,Build a CSS sample for use in OWL,ccretu,jwinkler,Medium,Closed,Fixed,30/Jan/18 1:21 PM,29/Aug/18 9:24 AM,
Sub-task,ITRC-3062,227344,224162,New Module 6 - Welding,,rsanchez,Medium,Closed,Fixed,30/Jan/18 10:21 AM,03/Apr/19 10:47 AM,
Sub-task,ITRC-3061,227343,224162,New Module 5 - Advance Machine,,rsanchez,Medium,Closed,Fixed,30/Jan/18 10:21 AM,03/Apr/19 10:47 AM,
Sub-task,ITRC-3060,227341,224162,Update Module 4 - Stationary Power Tools,,rsanchez,Medium,Closed,Fixed,30/Jan/18 10:19 AM,03/Apr/19 10:48 AM,
Sub-task,ITRC-3059,227340,224162,Update Module 3 - Abrasive and Cutting,,rsanchez,Medium,Closed,Fixed,30/Jan/18 10:18 AM,03/Apr/19 10:48 AM,
Sub-task,ITRC-3058,227337,224162,Update Module 2 - Hazards,,rsanchez,Medium,Closed,Fixed,30/Jan/18 10:17 AM,03/Apr/19 10:48 AM,
Sub-task,ITRC-3057,227336,224162,Update Module 1 - General Safety,,rsanchez,Medium,Closed,Fixed,30/Jan/18 10:16 AM,03/Apr/19 10:48 AM,
Sub-task,ITRC-3056,227332,224162,Investigate how to update modules without losing user scores,olo3,rsanchez,Medium,Closed,Done,30/Jan/18 10:08 AM,05/Apr/18 10:38 AM,14/Feb/18 12:00 AM
Sub-task,ITRC-3052,225238,219682,OWL Help Documentation - Phase 3 - Reset Password (Gateway),rsanchez,rsanchez,Medium,Closed,Done,17/Jan/18 2:27 PM,07/Mar/18 10:51 AM,16/Mar/18 12:00 AM
Task,ITRC-3051,225040,,CEL Book Design Phase I (Senor Churro - Spanish),astew5,astew5,Medium,Closed,Done,16/Jan/18 3:08 PM,27/Mar/19 2:46 PM,
Task,ITRC-3049,224939,,Western Libraries - Puppet Green Screen Clips,ifarrukh,rsanchez,Medium,Closed,Done,16/Jan/18 9:17 AM,16/Jan/19 4:42 PM,
Task,ITRC-3046,224432,,Rise Project based on Kevin McGuire’s ENGSCI 9510L 650 GS17,jroach7,jwinkler,Medium,Closed,Done,11/Jan/18 6:08 PM,29/Mar/18 4:10 PM,
Problem,ITRC-3043,224162,,Engineering Shop Training - Phase 2,olo3,olo3,Medium,Open,,10/Jan/18 2:54 PM,16/Jan/19 4:43 PM,
Sub-task,ITRC-3023,222135,221371,Research and Test Lightboard Animation Video,jroach7,rsanchez,Medium,Closed,Done,20/Dec/17 1:35 PM,16/May/18 11:44 AM,
Problem,ITRC-3022,222119,,AR Microscopy modules for Biology 1001/1002,dramji,jwinkler,Medium,Open,,20/Dec/17 12:01 PM,20/Dec/17 1:35 PM,
Task,ITRC-3015,221371,,OCCPTHER 9613 - Modules - Updates,ddorobek,rsanchez,Medium,Closed,Fixed,14/Dec/17 11:17 AM,16/Jan/19 4:45 PM,
Task,ITRC-3009,220867,,Living Well @ Western Filming,astew5,astew5,Medium,Closed,Done,11/Dec/17 11:01 AM,27/Mar/19 2:46 PM,
Sub-task,ITRC-3002,219802,219682,OWL Help Documentation - Phase 3 - FAQ - Student,,rsanchez,Medium,Roadmap,,01/Dec/17 2:51 PM,14/May/19 3:31 PM,11/May/18 12:00 AM
Sub-task,ITRC-3001,219801,219682,OWL Help Documentation - Phase 3 - FAQ - Instructor,,rsanchez,Medium,Roadmap,,01/Dec/17 2:50 PM,14/May/19 3:30 PM,11/May/18 12:00 AM
Sub-task,ITRC-2999,219718,219682,OWL Help Documentation - Phase 3 - Membership (Home),rsanchez,rsanchez,Medium,Closed,Done,01/Dec/17 10:37 AM,08/Mar/18 3:39 PM,16/Mar/18 12:00 AM
Sub-task,ITRC-2998,219717,219682,OWL Help Documentation - Phase 3 - Worksite Setup (Home),rsanchez,rsanchez,Medium,Closed,Done,01/Dec/17 10:37 AM,09/Mar/18 1:59 PM,16/Mar/18 12:00 AM
Sub-task,ITRC-2997,219716,219682,OWL Help Documentation - Phase 3 - Preferences (Home),rsanchez,rsanchez,Medium,Closed,Done,01/Dec/17 10:37 AM,07/Mar/18 10:51 AM,16/Mar/18 12:00 AM
Sub-task,ITRC-2996,219715,219682,OWL Help Documentation - Phase 3 - Account (Home),rsanchez,rsanchez,Medium,Closed,Done,01/Dec/17 10:37 AM,14/Feb/18 2:05 PM,16/Mar/18 12:00 AM
Sub-task,ITRC-2994,219713,219682,OWL Help Documentation - Phase 3 - Wiki,,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:30 PM,11/May/18 12:00 AM
Sub-task,ITRC-2993,219712,219682,OWL Help Documentation - Phase 3 - Web Content,,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:30 PM,11/May/18 12:00 AM
Sub-task,ITRC-2992,219711,219682,OWL Help Documentation - Phase 3 - VoiceThread,,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:31 PM,11/May/18 12:00 AM
Sub-task,ITRC-2991,219710,219682,OWL Help Documentation - Phase 3 - Tests & Quizzes,ccretu,rsanchez,Medium,Closed,Done,01/Dec/17 10:37 AM,14/May/18 9:50 AM,07/Mar/18 12:00 AM
Sub-task,ITRC-2990,219709,219682,OWL Help Documentation - Phase 3 - Syllabus,,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:30 PM,11/May/18 12:00 AM
Sub-task,ITRC-2989,219708,219682,OWL Help Documentation - Phase 3 - Statistics,ddorobek,rsanchez,Medium,Closed,Done,01/Dec/17 10:37 AM,14/May/18 9:20 AM,23/Mar/18 12:00 AM
Sub-task,ITRC-2988,219707,219682,OWL Help Documentation - Phase 3 - Site Info,dramji,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:31 PM,23/Mar/18 12:00 AM
Sub-task,ITRC-2987,219706,219682,OWL Help Documentation - Phase 3 - Sign Up,,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:31 PM,11/May/18 12:00 AM
Sub-task,ITRC-2986,219705,219682,OWL Help Documentation - Phase 3 - SCORM,ddorobek,rsanchez,High,Closed,Done,01/Dec/17 10:37 AM,14/May/18 9:40 AM,07/Mar/18 12:00 AM
Sub-task,ITRC-2985,219704,219682,OWL Help Documentation - Phase 3 - Rich-Text Editor,aaladl,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:30 PM,16/Mar/18 12:00 AM
Sub-task,ITRC-2984,219703,219682,OWL Help Documentation - Phase 3 - Resources,ifarrukh,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,17/May/19 3:23 PM,02/Mar/18 12:00 AM
Sub-task,ITRC-2983,219702,219682,OWL Help Documentation - Phase 3 - Research Guides,,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:30 PM,11/May/18 12:00 AM
Sub-task,ITRC-2982,219701,219682,OWL Help Documentation - Phase 3 - PostEm,,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:31 PM,11/May/18 12:00 AM
Sub-task,ITRC-2981,219700,219682,OWL Help Documentation - Phase 3 - Polls,,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:30 PM,11/May/18 12:00 AM
Sub-task,ITRC-2980,219699,219682,OWL Help Documentation - Phase 3 - Podcasts,,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:31 PM,11/May/18 12:00 AM
Sub-task,ITRC-2979,219698,219682,OWL Help Documentation - Phase 3 - Overview,,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:30 PM,11/May/18 12:00 AM
Sub-task,ITRC-2978,219697,219682,OWL Help Documentation - Phase 3 - News,,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:31 PM,11/May/18 12:00 AM
Sub-task,ITRC-2977,219696,219682,OWL Help Documentation - Phase 3 - Messages,,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:30 PM,11/May/18 12:00 AM
Sub-task,ITRC-2976,219695,219682,OWL Help Documentation - Phase 3 - Lessons,,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:33 PM,23/Mar/18 12:00 AM
Sub-task,ITRC-2975,219694,219682,OWL Help Documentation - Phase 3 - iClicker,,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:31 PM,11/May/18 12:00 AM
Sub-task,ITRC-2974,219693,219682,OWL Help Documentation - Phase 3 - Gradebook,astew5,rsanchez,Critical,Closed,Fixed,01/Dec/17 10:37 AM,07/May/19 10:06 AM,07/Mar/18 12:00 AM
Sub-task,ITRC-2973,219692,219682,OWL Help Documentation - Phase 3 - Forums,cgordo57,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,17/May/19 3:23 PM,23/Mar/18 12:00 AM
Sub-task,ITRC-2972,219691,219682,OWL Help Documentation - Phase 3 - EZProxy,,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:31 PM,11/May/18 12:00 AM
Sub-task,ITRC-2971,219690,219682,OWL Help Documentation - Phase 3 - Email Archive,,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:31 PM,11/May/18 12:00 AM
Sub-task,ITRC-2970,219689,219682,OWL Help Documentation - Phase 3 - Drop Box,,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:30 PM,11/May/18 12:00 AM
Sub-task,ITRC-2969,219688,219682,OWL Help Documentation - Phase 3 - Course Readings,,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:31 PM,11/May/18 12:00 AM
Sub-task,ITRC-2968,219687,219682,OWL Help Documentation - Phase 3 - Collaborate,,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:31 PM,11/May/18 12:00 AM
Sub-task,ITRC-2967,219686,219682,OWL Help Documentation - Phase 3 - Certification,aaladl,rsanchez,Medium,Closed,Done,01/Dec/17 10:37 AM,07/May/19 10:06 AM,23/Mar/18 12:00 AM
Sub-task,ITRC-2966,219685,219682,OWL Help Documentation - Phase 3 - Calendar,,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:31 PM,11/May/18 12:00 AM
Sub-task,ITRC-2965,219684,219682,OWL Help Documentation - Phase 3 - Assignments,jroach7,rsanchez,High,Closed,Done,01/Dec/17 10:37 AM,07/Mar/18 10:50 AM,02/Mar/18 12:00 AM
Sub-task,ITRC-2964,219683,219682,OWL Help Documentation - Phase 3 - Announcements,,rsanchez,Medium,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:30 PM,11/May/18 12:00 AM
Task,ITRC-2963,219682,,OWL Help Documentation - Phase 3 - Copywriting and Content Creation ,,rsanchez,High,Roadmap,,01/Dec/17 10:37 AM,14/May/19 3:30 PM,18/May/18 12:00 AM
Service Request,ITRC-2952,217723,,SANSAR Investigation,,dramji,Medium,Open,,16/Nov/17 1:51 PM,15/May/18 1:28 PM,
Task,ITRC-2947,216509,,Patient Engagement - OWL Site Design,cgordo57,rsanchez,Medium,Closed,Unsupported,08/Nov/17 9:51 AM,16/Jan/19 4:47 PM,15/Dec/17 12:00 AM
Sub-task,ITRC-2946,216461,214906,Final Edit,,apypstra,Medium,Roadmap,,07/Nov/17 3:40 PM,28/Sep/18 11:43 AM,
Sub-task,ITRC-2945,216460,214906,Export Rough Cut,apypstra,apypstra,Medium,Closed,Fixed,07/Nov/17 3:36 PM,13/Mar/18 10:04 AM,
Problem,ITRC-2944,216407,,Explore Rise Functionality + Module Development,olo3,olo3,Medium,Open,,07/Nov/17 12:30 PM,30/Oct/18 11:21 AM,
Problem,ITRC-2942,216042,,Small edits and credits to health sketches,ifarrukh,jsadle7,Medium,Closed,Done,03/Nov/17 1:51 PM,21/Nov/17 10:13 AM,
Task,ITRC-2939,214906,,David Reid Lecture Capture,,apypstra,Medium,Waiting For External,,26/Oct/17 10:55 AM,03/Apr/19 11:05 AM,
Sub-task,ITRC-2936,214479,191393,Revision - Chapter 3 - Review Questions: Precede-Proceed,ddorobek,rsanchez,Medium,Closed,Fixed,23/Oct/17 12:21 PM,30/Oct/17 9:40 AM,24/Oct/17 12:00 AM
Sub-task,ITRC-2892,209204,208732,OWL Help Documentation - Phase 2 - Membership (Home),rsanchez,rsanchez,Medium,Closed,Done,12/Sep/17 3:41 PM,12/Sep/17 5:21 PM,20/Dec/17 12:00 AM
Sub-task,ITRC-2891,209203,208732,OWL Help Documentation - Phase 2 - Worksite Setup (Home),rsanchez,rsanchez,Medium,Closed,Done,12/Sep/17 3:40 PM,13/Sep/17 4:02 PM,20/Dec/17 12:00 AM
Sub-task,ITRC-2888,209159,208732,OWL Help Documentation - Phase 2 - Preferences (Home),rsanchez,rsanchez,Medium,Closed,Done,12/Sep/17 2:16 PM,12/Sep/17 3:40 PM,20/Dec/17 12:00 AM
Sub-task,ITRC-2887,209157,208732,OWL Help Documentation - Phase 2 - Account (Home),rsanchez,rsanchez,Medium,Closed,Done,12/Sep/17 2:14 PM,12/Sep/17 3:35 PM,20/Dec/17 12:00 AM
Sub-task,ITRC-2883,208798,208732,OWL Help Documentation - Phase 2 - Gradebook,nmccain,rsanchez,Medium,Closed,Done,11/Sep/17 12:08 PM,17/Nov/17 3:00 PM,20/Dec/17 12:00 AM
Sub-task,ITRC-2882,208785,208732,OWL Help Documentation - Phase 2 - Wiki,cgordo57,rsanchez,Medium,Closed,Done,11/Sep/17 11:49 AM,14/Nov/17 12:34 PM,20/Dec/17 12:00 AM
Sub-task,ITRC-2881,208784,208732,OWL Help Documentation - Phase 2 - Web Content,aaladl,rsanchez,Medium,Closed,Done,11/Sep/17 11:49 AM,30/Oct/17 3:38 PM,20/Dec/17 12:00 AM
Sub-task,ITRC-2880,208783,208732,OWL Help Documentation - Phase 2 - VoiceThread,olo3,rsanchez,Medium,Closed,Done,11/Sep/17 11:49 AM,19/Oct/17 9:22 AM,20/Dec/17 12:00 AM
Sub-task,ITRC-2879,208780,208732,OWL Help Documentation - Phase 2 - Tests & Quizzes,ccretu,rsanchez,Medium,Closed,Done,11/Sep/17 11:48 AM,17/Nov/17 2:59 PM,20/Dec/17 12:00 AM
Sub-task,ITRC-2878,208779,208732,OWL Help Documentation - Phase 2 - Syllabus,olo3,rsanchez,Medium,Closed,Done,11/Sep/17 11:48 AM,17/Nov/17 3:21 PM,20/Dec/17 12:00 AM
Sub-task,ITRC-2877,208777,208732,OWL Help Documentation - Phase 2 - Statistics,cstew2,rsanchez,Medium,Closed,Done,11/Sep/17 11:48 AM,11/Dec/17 11:29 AM,20/Oct/17 12:00 AM
Sub-task,ITRC-2876,208776,208732,OWL Help Documentation - Phase 2 - Site Info,ddorobek,rsanchez,Medium,Closed,Done,11/Sep/17 11:47 AM,06/Oct/17 4:24 PM,20/Dec/17 12:00 AM
Sub-task,ITRC-2875,208775,208732,OWL Help Documentation - Phase 2 - Sign Up,cgordo57,rsanchez,Medium,Closed,Done,11/Sep/17 11:47 AM,22/Nov/17 9:31 AM,20/Dec/17 12:00 AM
Sub-task,ITRC-2874,208774,208732,OWL Help Documentation - Phase 2 - SCORM,cstew2,rsanchez,Medium,Closed,Done,11/Sep/17 11:46 AM,13/Feb/18 10:04 AM,20/Dec/17 12:00 AM
Sub-task,ITRC-2873,208773,208732,OWL Help Documentation - Phase 2 - Rich-Text Editor,aheintz,rsanchez,Medium,Closed,Done,11/Sep/17 11:46 AM,07/May/19 10:06 AM,20/Dec/17 12:00 AM
Sub-task,ITRC-2872,208771,208732,OWL Help Documentation - Phase 2 - Resources,ifarrukh,rsanchez,Medium,Closed,Done,11/Sep/17 11:46 AM,12/Dec/17 10:56 AM,20/Dec/17 12:00 AM
Sub-task,ITRC-2871,208768,208732,OWL Help Documentation - Phase 2 - Research Guides,olo3,rsanchez,Medium,Closed,Done,11/Sep/17 11:45 AM,31/Oct/17 10:05 AM,20/Dec/17 12:00 AM
Sub-task,ITRC-2870,208767,208732,OWL Help Documentation - Phase 2 - PostEm,aaladl,rsanchez,Medium,Closed,Fixed,11/Sep/17 11:44 AM,07/May/19 10:06 AM,20/Dec/17 12:00 AM
Sub-task,ITRC-2869,208766,208732,OWL Help Documentation - Phase 2 - Polls,astew5,rsanchez,Medium,Closed,Done,11/Sep/17 11:44 AM,30/Oct/17 3:09 PM,20/Dec/17 12:00 AM
Sub-task,ITRC-2868,208764,208732,OWL Help Documentation - Phase 2 - Podcasts,nmccain,rsanchez,Medium,Closed,Done,11/Sep/17 11:44 AM,06/Oct/17 2:30 PM,20/Dec/17 12:00 AM
Sub-task,ITRC-2867,208763,208732,OWL Help Documentation - Phase 2 - Overview,nmccain,rsanchez,Medium,Closed,Fixed,11/Sep/17 11:43 AM,07/May/19 10:06 AM,20/Dec/17 12:00 AM
Sub-task,ITRC-2866,208762,208732,OWL Help Documentation - Phase 2 - News,ddorobek,rsanchez,Medium,Closed,Fixed,11/Sep/17 11:43 AM,06/Oct/17 12:39 PM,20/Dec/17 12:00 AM
Sub-task,ITRC-2865,208761,208732,OWL Help Documentation - Phase 2 - Messages,ifarrukh,rsanchez,Medium,Closed,Done,11/Sep/17 11:43 AM,02/Nov/17 10:38 AM,20/Dec/17 12:00 AM
Sub-task,ITRC-2864,208760,208732,OWL Help Documentation - Phase 2 - Lessons,astew5,rsanchez,Medium,Closed,Done,11/Sep/17 11:42 AM,07/May/19 10:06 AM,20/Dec/17 12:00 AM
Sub-task,ITRC-2863,208759,208732,OWL Help Documentation - Phase 2 - iClicker,ddorobek,rsanchez,Medium,Closed,Fixed,11/Sep/17 11:42 AM,06/Oct/17 12:25 PM,20/Dec/17 12:00 AM
Sub-task,ITRC-2862,208758,208732,OWL Help Documentation - Phase 2 - Forums,dramji,rsanchez,Medium,Closed,Done,11/Sep/17 11:42 AM,01/Dec/17 10:01 AM,20/Dec/17 12:00 AM
Sub-task,ITRC-2861,208755,208732,OWL Help Documentation - Phase 2 - EZProxy,astew5,rsanchez,Medium,Closed,Done,11/Sep/17 11:41 AM,10/Oct/17 3:24 PM,20/Dec/17 12:00 AM
Sub-task,ITRC-2860,208754,208732,OWL Help Documentation - Phase 2 - Email Archive,ccretu,rsanchez,Medium,Closed,Fixed,11/Sep/17 11:40 AM,10/Nov/17 12:55 PM,20/Dec/17 12:00 AM
Sub-task,ITRC-2859,208753,208732,OWL Help Documentation - Phase 2 - Drop Box,ifarrukh,rsanchez,Medium,Closed,Done,11/Sep/17 11:40 AM,02/Nov/17 10:36 AM,20/Dec/17 12:00 AM
Sub-task,ITRC-2858,208752,208732,OWL Help Documentation - Phase 2 - Course Readings,cgordo57,rsanchez,Medium,Closed,Done,11/Sep/17 11:39 AM,14/Nov/17 11:25 AM,20/Dec/17 12:00 AM
Sub-task,ITRC-2857,208750,208732,OWL Help Documentation - Phase 2 - Collaborate,ccretu,rsanchez,Medium,Closed,Fixed,11/Sep/17 11:39 AM,10/Nov/17 12:55 PM,20/Dec/17 12:00 AM
Sub-task,ITRC-2856,208748,208732,OWL Help Documentation - Phase 2 - Certification,jroach7,rsanchez,Medium,Closed,Done,11/Sep/17 11:39 AM,06/Oct/17 11:08 AM,20/Dec/17 12:00 AM
Sub-task,ITRC-2855,208747,208732,OWL Help Documentation - Phase 2 - Calendar,aaladl,rsanchez,Medium,Closed,Done,11/Sep/17 11:38 AM,18/Oct/17 3:22 PM,20/Dec/17 12:00 AM
Sub-task,ITRC-2854,208746,208732,OWL Help Documentation - Phase 2 - Assignments,jroach7,rsanchez,Medium,Closed,Done,11/Sep/17 11:38 AM,06/Oct/17 12:13 PM,20/Dec/17 12:00 AM
Sub-task,ITRC-2853,208745,208732,OWL Help Documentation - Phase 2 - Announcements,dramji,rsanchez,Medium,Closed,Done,11/Sep/17 11:37 AM,06/Oct/17 3:28 PM,20/Dec/17 12:00 AM
Task,ITRC-2852,208732,,"OWL Help Documentation - Phase 2 - Categories, Styling, Screenshots",nmccain,rsanchez,Medium,Closed,Done,11/Sep/17 11:15 AM,13/Feb/18 10:56 AM,17/Nov/17 12:00 AM
Task,ITRC-2850,208664,,Leg Up eCampus Graphics,jroach7,jroach7,Medium,Closed,Done,11/Sep/17 9:48 AM,16/Jan/19 5:17 PM,
Problem,ITRC-2827,206848,,Sarah McLean filming for Med Sci,jsadle7,cstew2,Medium,Closed,Fixed,30/Aug/17 10:25 AM,05/Oct/17 10:13 AM,
Sub-task,ITRC-2826,206735,205798,Fall Perspectives 2017 - Edit,jroach7,apypstra,Medium,Closed,Done,29/Aug/17 2:26 PM,12/Oct/17 10:03 AM,
Service Request,ITRC-2817,205192,,Lightboard Filming: Rob Corless,jsadle7,astew5,Medium,Closed,Fixed,16/Aug/17 9:46 AM,16/Jul/18 4:25 PM,
Task,ITRC-2808,203821,,Create 30-second spots for outs11 features,dramji,sfoster9,High,Open,,02/Aug/17 1:01 PM,10/Oct/17 3:42 PM,
Task,ITRC-2802,203159,,Lightboard Filming - Christine Bell,,cgordo57,Medium,Open,,26/Jul/17 1:43 PM,07/May/19 10:06 AM,
Task,ITRC-2798,202280,,Transesophageal Ultrasound Filming,astew5,apypstra,Medium,Closed,Done,18/Jul/17 9:53 AM,27/Mar/19 2:46 PM,
Sub-task,ITRC-2797,202263,191999,Reflections- July 17th Shoot ,ifarrukh,ifarrukh,Medium,Closed,Reporter Timeout,18/Jul/17 9:01 AM,28/Feb/18 10:58 AM,
Sub-task,ITRC-2795,201938,200831,Lab Practices Video,jroach7,jroach7,Medium,Closed,Done,13/Jul/17 2:18 PM,13/Sep/17 4:06 PM,
Task,ITRC-2793,201639,,Ana Garcia Powtoon Project,ddorobek,ddorobek,Medium,Closed,Fixed,11/Jul/17 1:53 PM,03/Nov/17 2:25 PM,
Sub-task,ITRC-2790,201401,201039,Edit & Export WSCE 2017 Session 3A,cgordo57,rsanchez,Medium,Closed,Fixed,10/Jul/17 9:24 AM,11/Aug/17 4:04 PM,17/Jul/17 12:00 AM
Sub-task,ITRC-2789,201399,201039,Edit & Export WSCE 2017 Session 2B,cgordo57,rsanchez,Medium,Closed,Fixed,10/Jul/17 9:24 AM,11/Aug/17 2:49 PM,
Sub-task,ITRC-2788,201398,201039,Edit & Export WSCE 2017 Session 1B,jroach7,rsanchez,Medium,Closed,Done,10/Jul/17 9:22 AM,08/Aug/17 2:42 PM,17/Jul/17 12:00 AM
Sub-task,ITRC-2787,201396,201039,Edit & Export WSCE 2017 Session 1A,ifarrukh,rsanchez,Medium,Closed,Done,10/Jul/17 9:22 AM,11/Aug/17 2:46 PM,17/Jul/17 12:00 AM
Task,ITRC-2784,201039,,WCSE Filming 2017,ifarrukh,ifarrukh,Medium,Closed,Done,05/Jul/17 2:10 PM,10/May/19 9:36 AM,17/Jul/17 12:00 AM
Problem,ITRC-2782,201031,,Michele Barbeau - Lightboard Demo,aaladl,aaladl,Medium,Closed,Done,05/Jul/17 1:32 PM,07/May/19 10:06 AM,
Sub-task,ITRC-2781,200870,200831,Update Storyline Modules,astew5,astew5,Medium,Closed,Done,04/Jul/17 2:00 PM,13/Sep/17 4:03 PM,
Sub-task,ITRC-2780,200868,200831,Custom Lessons Page,astew5,astew5,Medium,Closed,Done,04/Jul/17 1:57 PM,27/Mar/19 3:12 PM,
Task,ITRC-2779,200831,,Med Sci 4900 Design and Modules,olo3,astew5,Medium,Closed,Done,04/Jul/17 11:57 AM,13/Sep/17 4:07 PM,
Sub-task,ITRC-2777,200508,193930,Banner Images 2.0,astew5,astew5,Medium,Closed,Done,29/Jun/17 10:17 AM,12/Sep/17 9:16 AM,
Sub-task,ITRC-2772,200061,184305,Residents as Teachers - Module 3,jroach7,jroach7,Medium,Closed,Done,26/Jun/17 2:57 PM,11/Sep/17 8:53 AM,
Service Request,ITRC-2771,199771,,BIOCHEM 2280 Storyline development module,,jwinkler,Medium,Closed,Done,22/Jun/17 1:48 PM,15/May/18 1:28 PM,
Task,ITRC-2762,197602,,LEG UP 2017,ifarrukh,ifarrukh,Medium,Closed,Done,02/Jun/17 1:56 PM,16/Jan/19 5:19 PM,21/Jun/17 12:00 AM
Sub-task,ITRC-2761,197535,197298,Fix Module 3 Matching Game,dcosman,dcosman,High,Investigating,,02/Jun/17 10:25 AM,26/Oct/18 1:13 PM,
Task,ITRC-2760,197298,,CEE 9510 Phase 2 Course Site Setup,arakic,arakic,Medium,Closed,Fixed,31/May/17 1:34 PM,25/Jul/17 3:57 PM,
