Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Task,ITRC-357,104889,,CEE 9510 - Course Development - Video,apypstra,deanna,Medium,Closed,Fixed,22/Apr/15 10:11 AM,16/Jan/19 5:34 PM,18/Dec/15 12:00 AM
Problem,ITRC-319,103497,,Request for TIES logo,tcoso2,abharga8,Medium,Closed,Fixed,07/Apr/15 12:15 PM,19/May/15 11:06 AM,
Task,ITRC-301,102367,,Create a promotional video for the eLearning Toolkit,jferenc,sfoster9,High,Closed,Reporter Timeout,26/Mar/15 9:59 AM,26/Feb/18 9:53 AM,14/Aug/15 12:00 AM
Task,ITRC-300,102365,,Create an ITRC showcase/promotional video,tpulchin,sfoster9,Medium,Closed,Done,26/Mar/15 9:55 AM,19/May/16 4:32 PM,28/Apr/15 12:00 AM
Task,ITRC-296,102117,,LEG UP MOOC with Dan Belliveau and Cortney Hanna,dcosman,sroach8,Medium,Closed,Done,24/Mar/15 11:32 AM,27/Mar/19 3:03 PM,
Task,ITRC-289,101741,,Instructional Skills Module,tcoso2,tcoso2,Medium,Closed,Done,20/Mar/15 9:49 AM,19/May/15 10:07 AM,30/Apr/15 12:00 AM
Sub-task,ITRC-234,99769,96685,Create Process for Buddy Program,,abharga8,Medium,Open,,03/Mar/15 10:42 AM,26/Oct/18 1:14 PM,
Task,ITRC-233,99765,,Equipment Sign-Out Checklist Form,akruljev,akruljev,Medium,Open,,03/Mar/15 10:36 AM,26/Oct/18 1:13 PM,
Task,ITRC-194,98233,,Spanish TA Tutorial Project Site Support,dcosman,dcosman,Medium,Closed,Done,18/Feb/15 4:37 PM,07/Jun/16 3:04 PM,
Task,ITRC-186,98010,,Create an invitation to Merran's retirement party,rsanchez,sfoster9,Critical,Closed,Fixed,17/Feb/15 9:20 AM,18/Feb/15 4:24 PM,18/Feb/15 12:00 AM
Task,ITRC-183,97895,,Ontario Placement - Webinar Conference French Guest Speaker,dcosman,dcosman,Medium,Closed,Done,13/Feb/15 1:05 PM,15/Jul/16 9:10 AM,24/Mar/15 12:00 AM
Task,ITRC-172,97523,,Engineering Shop Training site - ITRC Support,tkruljev,jwinkler,Medium,Closed,Done,10/Feb/15 12:33 PM,16/Oct/17 12:01 PM,
Task,ITRC-152,96685,,Training for New ITRC Consultants,,tcoso2,Medium,Open,,03/Feb/15 12:05 PM,26/Oct/18 1:13 PM,
Task,ITRC-136,95069,,George Gadanidis' Animated Music Videos,cbernasc,sroach8,Medium,Open,,20/Jan/15 10:03 AM,26/Oct/18 1:14 PM,
Task,ITRC-113,91888,,Backup and edit the photos from the ITS Holiday Party 2014,sroach8,sfoster9,High,Closed,Fixed,12/Dec/14 10:31 AM,19/Dec/14 1:48 PM,
Task,ITRC-101,89264,,Intractive Learning Modules for David Kanatawakhon (First Nations Studies/Anthropology),deanna,jferenc,High,Closed,Fixed,12/Nov/14 2:00 PM,30/Jan/15 8:47 AM,30/Apr/15 12:00 AM
Task,ITRC-97,88642,,Logging and Capturing for Joanna Quinn,,tpulchin,Medium,Closed,Done,05/Nov/14 12:51 PM,29/Jul/15 9:01 AM,
Task,ITRC-95,88015,,EARTHSCI 2001 Articulate Storyline Modules,,sroach8,Medium,Closed,Fixed,29/Oct/14 10:31 AM,14/Jan/15 2:44 PM,
Task,ITRC-88,86849,,Testing group document editing in TurnItIn using Grademark,tpulchin,tpulchin,Medium,Closed,Done,16/Oct/14 11:54 AM,28/Jan/15 12:03 PM,
Service Request,ITRC-70,82485,,HearCareInfo Owl Site,,ndelben,Medium,Open,,04/Sep/14 1:16 PM,26/Oct/18 1:13 PM,
Task,ITRC-67,81371,,Mobile French Placement Test,,ewaller2,Medium,Closed,Obsolete,25/Aug/14 9:51 AM,16/Oct/17 12:01 PM,
Task,ITRC-66,81053,,Investigate possible replacement options for ScanExam,dcosman,sfoster9,Medium,Closed,Done,20/Aug/14 12:03 PM,07/Jun/16 3:05 PM,16/Sep/14 12:00 AM
Sub-task,ITRC-63,79925,75074,Grammar Pattern 9,jferenc,jferenc,Medium,Closed,Superseded,06/Aug/14 10:47 AM,22/Jun/15 11:11 AM,
Task,ITRC-50,78596,,ITRC-50 Documentation Update,dcosman,dcosman,Low,Closed,Superseded,17/Jul/14 9:57 AM,08/Feb/18 9:25 AM,
Task,ITRC-49,78096,,Updated/New WALS Room Videos,,tpulchin,Medium,Closed,Done,14/Jul/14 10:49 AM,16/Oct/17 12:01 PM,
Task,ITRC-48,77311,,Mary Weil's Graphic Syllabus,abeauli4,abeauli4,Medium,Closed,Reporter Timeout,03/Jul/14 3:23 PM,09/Nov/15 8:10 AM,01/Sep/14 12:00 AM
Task,ITRC-47,77240,,Audio Equipment Tutorials (ITRC Internal),jferenc,jferenc,Low,Closed,Incomplete,03/Jul/14 10:48 AM,19/Feb/16 1:36 PM,22/Dec/23 12:00 AM
Task,ITRC-46,77019,,EPID 9562A Video/Interactive Modules ,akruljev,akruljev,Medium,Closed,Reporter Timeout,30/Jun/14 3:29 PM,20/Jan/16 11:26 AM,
Task,ITRC-45,76632,,Summer Library Tutorial Project (2014),,ashyr2,Medium,Closed,Done,24/Jun/14 2:25 PM,16/Oct/17 12:01 PM,
Task,ITRC-43,76258,,Statistics 1024 650 Owl site and module creation.,,abeauli4,Medium,Closed,Fixed,19/Jun/14 2:18 PM,14/Jan/19 2:09 PM,01/Sep/14 12:00 AM
Task,ITRC-42,75857,,Western 1010 - Student Services,abeauli4,rsanchez,Medium,Closed,Done,16/Jun/14 1:24 PM,16/Jan/19 5:35 PM,
Task,ITRC-41,75179,,Press Western,dcosman,dcosman,Medium,Investigating,,06/Jun/14 3:21 PM,26/Oct/18 1:14 PM,
Task,ITRC-40,75097,,How to videos of WALS room,,ashyr2,Medium,Closed,Done,05/Jun/14 3:50 PM,09/Nov/15 8:13 AM,
Task,ITRC-39,75074,,Japanese Grammar Patterns Project,sroach8,jferenc,Medium,Closed,Fixed,05/Jun/14 2:15 PM,16/Oct/17 12:01 PM,
Task,ITRC-38,74986,,Sakai UX (User eXperience) Update,dcosman,dcosman,Medium,Investigating,,04/Jun/14 3:41 PM,26/Oct/18 1:13 PM,
Task,ITRC-37,74147,,Dentistry Module,dcosman,sroach8,Medium,Closed,Done,27/May/14 11:11 AM,16/Oct/17 12:01 PM,
Task,ITRC-36,74059,,Experimental Mathematics,,ashyr2,Medium,Closed,Done,26/May/14 3:10 PM,05/Jan/16 10:25 AM,
Task,ITRC-35,73476,,Animation Project for George Gadanidis,jferenc,jferenc,High,Closed,Done,16/May/14 2:55 PM,16/Oct/17 12:01 PM,
Task,ITRC-34,73469,,Website Redesign for George Gadanidis,,jle249,Medium,Closed,Done,16/May/14 2:28 PM,23/Dec/14 2:47 PM,
Task,ITRC-33,69183,,KIN 4474: Video Infographic,,sroach8,Medium,Closed,Done,26/Mar/14 10:54 AM,05/Jan/15 8:56 AM,
Task,ITRC-31,67296,,SPANISH 3500G 001 FW13 - Guatemala project,,jle249,Medium,Closed,Fixed,04/Mar/14 11:57 AM,16/Oct/17 12:01 PM,30/Apr/14 12:00 AM
Task,ITRC-30,67294,,SAO Modules,,jle249,Medium,Closed,Reporter Timeout,04/Mar/14 11:47 AM,16/Oct/17 12:01 PM,30/May/14 12:00 AM
Task,ITRC-26,58030,,MOS 3362- Intro. to Taxation in Canada - Prof. Ann Bigelow,,mneville,Medium,Closed,Fixed,23/Oct/13 12:37 PM,16/Oct/17 12:01 PM,
Task,ITRC-25,58020,,"""Where have you been?"" - Ivey Business School - Prof. Paul Beamish and Vanessa Hasse",,mneville,Medium,Closed,Fixed,23/Oct/13 11:51 AM,16/Oct/17 12:01 PM,04/Aug/14 12:00 AM
