Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Access),Custom field (Account Number),Custom field (Administered By),Custom field (Administrator Email),Custom field (Administrator Name),Custom field (Applications),Custom field (Approval Status),Custom field (Approvers),Custom field (Audience),Custom field (Backout plan),Custom field (Booking Number),Custom field (Building & Room),Custom field (Business Value),Custom field (CAB),Custom field (CPU),Custom field (Cc Groups),Custom field (Cc Users),Custom field (Cc Users),Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),Custom field (Customer Name),Custom field (Customer Request Type),Custom field (Customer User ID),Custom field (Data Classification),Custom field (Database),Custom field (Department/Faculty),Custom field (Directories),Custom field (Directors),Custom field (Disk),Custom field (Email Contact),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (External issue ID),Custom field (Gigabytes),Custom field (Global Rank),Custom field (Has Database),Custom field (Has Firewall),Custom field (Home Number),Custom field (Impact),Custom field (Impact of failure),Custom field (Implementation plan),Custom field (Investigation reason),Custom field (Key Status),Custom field (Memory),Custom field (Network Speed),Custom field (Notification Email),Custom field (Notifications),Custom field (Operating System),Custom field (Operational categorization),Custom field (Oracle Bug/RFE),Custom field (Oracle SR),Custom field (Payment Method),Custom field (Pending reason),Custom field (Probability of failure),Custom field (Product categorization),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Request participants),Custom field (Resources),Custom field (Root cause),Custom field (Satisfaction),Custom field (Severity),Custom field (Source),Custom field (Standard Checks),Custom field (Story Points),Custom field (Testing),Custom field (Urgency),Custom field (VM OS),Custom field (Work Number),Custom field (Workaround),,,,,,,,,,,,,
Remove former ITRC student consultants from the ITRC public site,ITRC-3258,272112,,Task,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,sfoster9,sfoster9,2018-11-21 10:53,2018-11-21 11:19,2019-06-11 10:56,2018-11-21 11:09,Documentation,,,0,cascade,itrc,,,,,ITRC public site,sfoster9,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,aculver,,,,,,,,,,,,,,,,,aculver,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,Email only,,,,,,,,,0|i16err:,9.22337E+18,,,,,,,Ping,,No,,,,,,,,,,,,,,,,,
OWL Support - Lessons and Forums Settings,ITRC-3238,267198,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2018-10-17 15:01,2018-10-17 15:02,2019-06-11 10:56,2018-10-17 15:02,Support,,,0,forums,lessons,owl,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,Email only,,,,,,,,,0|i15krb:,9.22337E+18,,,,,,,Ping,,No,,,,,,,,,,,,,,,,,
Drop In - Adding Links to Subpages,ITRC-3154,253172,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2018-07-12 12:50,2018-07-12 12:50,2019-06-11 10:56,2018-07-12 12:50,Support,,,0,lessons,tests&quizzes,,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,Email only,,,,,,,,,0|i136nj:,9.22337E+18,,,,,,,Ping,,No,,,,,,,,,,,,,,,,,
Drop In - Importing Resources and Converting Audio Files,ITRC-3140,245127,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2018-05-14 14:29,2018-05-14 14:29,2019-06-11 10:56,2018-05-14 14:29,Support,,,0,import,owl,resources,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,Email only,,,,,,,,,0|i11ulj:,9.22337E+18,,,,,,,Ping,,No,,,,,,,,,,,,,,,,,
Drop In - Lessons Help,ITRC-3103,237429,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2018-03-23 12:45,2018-03-23 12:45,2019-06-11 10:56,2018-03-23 12:45,Support,,,0,lessons,owl-lessons,owl-resources,resources,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i10j6v:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
Drop in - Certification Question,ITRC-3082,231641,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2018-02-21 14:49,2018-02-21 14:49,2019-06-11 10:56,2018-02-21 14:49,Support,,,0,certificate,owl,tests&quizzes,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0zjlr:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
UME Chart Simulation App,ITRC-3076,229339,,Service Request,Waiting For External,ITRC,ITRC,software,sfoster9,,Medium,,ddorobek,apypstra,apypstra,2018-02-09 13:07,2018-11-08 10:45,2019-05-03 14:59,,ITRC Project,,,0,itrc,,,,,,,apypstra,ddorobek,dramji,yalshara,,,,,,,,,,,,,,,,,,,Default,,13/Feb/18 1:07 PM;apypstra;Objectives.pdf;https://jira.uwo.ca/secure/attachment/29274/Objectives.pdf,13/Feb/18 11:19 AM;apypstra;SIMULATION APP.pptx;https://jira.uwo.ca/secure/attachment/29266/SIMULATION+APP.pptx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0z79b:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
Drop In - Tests and Quizzes Feedback,ITRC-3070,228906,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2018-02-07 13:45,2018-02-07 13:45,2019-06-11 10:56,2018-02-07 13:45,Support,,,0,owl,owl-test&quizzes,tests&quizzes,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0z4lb:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
Drop In - Peer Assessment Assignments,ITRC-3031,223011,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2018-01-03 14:46,2018-01-03 14:46,2019-06-11 10:56,2018-01-03 14:46,Support,,,0,assignments,owl-assignment,,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0y4db:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
Drop In - Deleting Assignment from Gradebook,ITRC-3027,222442,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2017-12-22 14:06,2017-12-22 14:06,2019-06-11 10:56,2017-12-22 14:06,Support,,,0,assignments,gradebook,owl,owl-assignment,owl-gradebook,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0y0uv:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
